0007		ACADÉMIE GAÏA
0009		Sergi Castillo Lapeira
0010		© Sergi Castillo Lapeira, 2026
0011		Première édition : 2026
0012		Tous droits réservés.
0013		Aucune partie de cette publication ne peut être reproduite, stockée dans un système de récupération de données ni transmise, sous quelque forme et par quelque moyen que ce soit — électronique, mécanique, par photocopie, par enregistrement ou autre —, sans l’autorisation écrite et préalable de l’auteur, sauf dans le cas de brèves citations intégrées à des critiques ou à des travaux universitaires.
0014		Ceci est une œuvre de fiction. Les noms, les personnages, les lieux et les événements sont le fruit de l’imagination de l’auteur ou sont utilisés de manière fictive. Toute ressemblance avec des personnes réelles, vivantes ou mortes, serait purement fortuite.
0015		sergicastillo.com
0016		Pour Xavier et Hel·lena
0017		« Peut-être la réalité n’est-elle pas un lieu, mais la façon dont toutes les consciences se rencontrent. »
0018		— Académie Gaïa
0019		TABLE DES MATIÈRES
1893	Normal	Soudain, ils entendirent la porte s’animer, comme si quelqu’un cherchait à l’ouvrir de l’intérieur. Lorsqu’elle fut entrouverte d’un empan, une voix étouffée se fit entendre du dedans.
1894	Normal	— Si vous continuez à faire autant de bruit, vous attirerez tous les mangeurs de cervelle de la contrée. Qui êtes-vous ?
1895	Normal	— Matilde ? C’est toi ?
1896	Normal	— Johnny ?
1897	Normal	— Oui, c’est nous ! Tu peux nous ouvrir ?
1898	Normal	— Oui, vous pouvez entrer, mais vous ne trouverez pas de provisions ici, si c’est ce que vous cherchez.
1899	Normal	— Nous ne voulons rien, seulement passer la nuit, expliqua Johnny.
1900	Normal	Lorsqu’ils purent enfin entrer, ils se trouvèrent devant un paysage désolant. L’ancien bâtiment plein de vie étudiante dont ils gardaient le souvenir s’était mué en une tombe froide et silencieuse, éclairée par une unique bougie. Matilde avait réussi à tenir, cachée pendant des semaines dans le repaire secret du sous-sol.
1901	Normal	— Vous êtes fous ? Comment avez-vous pu avoir l’idée de sortir de nuit ? C’est le moment où ils sont le plus actifs !
1902	Normal	— Nous devions trouver un lieu sûr, Matilde, et nous avons pensé que ce bâtiment le serait, dit Marc.
1903	Normal	— Il n’y a aucun lieu sûr. Moi, je me suis maintenue ici parce que nous ne sommes que deux, Maarten et moi. Si nous remplissons cet endroit de monde, nous ferons du bruit et nous les attirerons.
1904	Normal	— Maarten ? Où est-il ? demanda Johnny.
1905	Normal	— Il rôde dans le quartier pour chasser, et il rentre toujours très tard. Les jours de chance, il rapporte un rat pour dîner.
1906	Normal	— Beurk, quelle horreur ! dit Miqui.
1907	Normal	— C’est tout ce que nous avons, et nous devons en profiter si nous voulons survivre.
1908	Normal	— D’accord, nous ne resterons que jusqu’à ce que nous trouvions une autre cachette. Une idée ? demanda Marc.
1909	Normal	— Il y a plus de mille abris antiaériens qui ont été construits pendant la guerre civile, au siècle dernier. Ils forment un réseau qui s’étend dans toute la ville, dit Eusebi. Je le sais parce qu’il y en a un à côté de chez moi. Nous pourrions les utiliser comme dépôts de vivres et pour nous mettre à l’abri en cas d’urgence.
1910	Normal	— Ce peut être une très bonne solution. À la bibliothèque, il doit y avoir les plans avec leurs emplacements. Mais si nous voulons mettre au point le vaccin, il nous faudra accéder à toutes les ressources de l’académie, fit remarquer Élia.
1911	Normal	— Je suis d’accord, et cela nous oblige à continuer de vous rendre visite, Matilde. J’espère que vous le comprendrez. Si nous ne mettons pas au point cette maudite toxine, tôt ou tard nous disparaîtrons de la surface de la terre, dit Ilya.
1912	Normal	Soudain, on entendit de petits coups à la porte. Lorsque Matilde les perçut, elle s’y dirigea rapidement, tout en faisant taire le groupe.
1913	Normal	— C’est Maarten, qui revient déjà de la chasse.
1914	Normal	Matilde ouvrit la porte et, comme elle s’y attendait, elle avait Maarten devant elle. Mais celui-ci ne venait pas seul.
1915	Heading 2	CHAPITRE 30. Qui est l’ennemi ?
1916	Normal	Derrière Maarten se tenait quelqu’un qu’Ava et Anastasia reconnurent à l’instant, même si les circonstances les contraignaient au silence. Quant à l’ex-directeur, il était tenu en joue, un fusil à canon scié pointé sur son cou et les mains liées dans le dos. Lorsqu’ils entrèrent tous les deux, un cortège de quatre individus les suivit, chacun accompagné d’un zombie enchaîné.
1917	Normal	— Bonjour, Matilde. Tu ne nous salues pas ? Et tes amis ? Non plus ? Je vois que le monde nouveau vous a changé les manières. Vous n’êtes plus ces individus arrogants et prétentieux d’avant l’invasion, du temps où ce bâtiment se consacrait à « enseigner ». N’est-ce pas ?
1918	Normal	— Bonjour, Leo. Toi, en revanche, le monde nouveau ne t’a pas changé. Tu conserves l’ignorance que tu affichais déjà quand tu étais étudiant, à cette différence près que tu portes maintenant une arme à la main. Tu dois croire que l’usage de la force te rendra plus sage.
1919	Normal	— Et qui diable a besoin d’être sage, au beau milieu de cette apocalypse, crétine ? Voici le monde du chaos, mon monde, et ici c’est moi qui commande, pas vous. Tu piges, ou faut-il que je te l’explique ?
1920	Normal	— Ce ne sera pas nécessaire, nous comprenons, répondit Marc Ferguson. Mais, s’il te plaît, rends sa liberté à Maarten.
1921	Normal	— Que je le libère ? Et pourquoi le ferais-je ?
1922	Normal	— Eh bien, par humanité, peut-être ? S’il en reste dans ce monde qui dépérit.
1923	Normal	— L’humanité ? Tu plaisantes ? Il n’en reste plus, d’humains. Ils se sont éteints. Et ils ont bien fait. Maintenant, ceux d’entre nous qui subsistent les ont surpassés : nous sommes devenus supérieurs, la nouvelle espèce dominante.
1924	Normal	— Où as-tu lu cela, au dos d’un sachet de sucre ? Pauvre idiot, il n’existe rien au-delà de l’être humain, dit Maarten.
1925	Normal	— Tes paroles sont celles d’un homme fini, Maarten. Et en te voyant ainsi défait, le destin m’a remboursé au centuple la dette qu’il avait contractée envers moi, le jour où j’entrai dans ton bureau infect. Oui, ce jour infâme, j’ai dû avaler ton discours décadent. Mais j’en suis sorti intact. Aucune de tes paroles creuses ne m’a atteint, car je savais déjà que mon heure viendrait. Et comment, qu’elle est venue ! Maintenant, c’est moi le maître, et toi l’esclave. Révoltez-vous, et vous ferez l’amuse-bouche de mes amis mangeurs de cervelle.
1926	Normal	— De quoi es-tu le maître, Leo ? Quel est ton royaume ? Crois-tu pouvoir dominer ce désert dévasté ? Avant même que tu ne t’en rendes compte, il t’engloutira comme une gorgée avalée sans y penser.
1927	Normal	— Leo, réfléchis bien à ce que tu fais. Chaque jour qui passe, nous sommes moins nombreux. Bientôt il ne restera plus personne sur cette planète, à part toi, seul, entouré de mangeurs de cerveaux. Est-ce cela que tu désires ? Vraiment ? demanda Matilde.
1928	Normal	— Taisez-vous une bonne fois ! Vous voulez me gâcher ma victoire. Oui, c’est cela que vous cherchez. Vous ne supportez pas que ce soit désormais moi qui commande, moi qui donne les ordres. Enfermez-les ! Ôtez-les de ma vue !
1929	Normal	Alors, l’un de ceux qui accompagnaient Leo, un garçon grand et mal fagoté, un œil couvert d’un bandeau, éleva la voix :
1930	Normal	— Chef, ils ont peut-être raison. J’en ai assez de voir toujours les mêmes visages, qui sont les nôtres, sans parler de ces zombies qui nous accompagnent. Chaque jour il leur manque une partie du corps, et cela me met les nerfs à vif. Cela fait très longtemps que nous n’avons pas vu un visage nouveau !
1931	Normal	— Tu veux te taire, Melchior ?
1932	Normal	— Non, je ne veux pas me taire, parce que je crois que j’ai raison.
1933	Normal	— Faut-il aussi que je te rappelle qui commande ?
1934	Normal	— Et que comptes-tu faire ? Tes menaces ne nous font plus peur. Si même les zombies ne nous effraient plus, toi encore moins.
1935	Normal	— Pourquoi parles-tu au pluriel ? Est-ce que les autres te soutiennent ?
1936	Normal	— Oui, nous en avons assez de ton autorité. Nous sommes arrivés à la conclusion que nous n’en avons pas besoin, de chefs. Nous voulons l’anarchie.
1937	Normal	— Mais vous ne savez rien faire de vos dix doigts, bande de minables. Sans moi, vous seriez déjà de la chair à zombie. Ingrats ! Traîtres !
1938	Normal	— Eh bien, Leo, on dirait que ton royaume s’effondre, fit observer Ava.
1939	Normal	— Toi, tais-toi, monstre synthétique, répondit-il, avec une expression qui trahissait à la fois la haine et l’impuissance.
1940	Normal	— Leo, regarde autour de toi. Je crois que tu n’es pas en position de faire taire qui que ce soit.
1941	Normal	En effet, les quatre compagnons avec lesquels il était entré dans l’ancienne académie le regardaient d’un mauvais œil.
1942	Normal	— Leo, ou tu démissionnes de ta fonction de chef, ou nous te chassons nous-mêmes, menaça Melchior. Alors se produisit un silence contenu, où tous se dévisagèrent, pesant les différentes options qui s’ouvraient désormais. Finalement, ce fut Leo qui prit la parole.
1943	Normal	— Très bien, je vois que vous êtes plus stupides que je ne l’imaginais. Mais ne croyez pas que vous me chassez. C’est moi qui m’en vais. Je n’ai pas besoin de rester avec des incapables comme vous, qui ne savez rien faire d’autre que vous plaindre et me barrer le chemin. Restez donc là, bande d’inutiles !
1944	Normal	Et sur ces mots, il claqua la porte et repartit par où il était entré. En le voyant faire, Melchior et les autres poussèrent un grand soupir, comme si on leur avait ôté un immense rocher de sur les épaules.
1945	Normal	— Enfin, quel raseur ! dit une jeune fille à la peau sombre et à la voix claire. Elle portait des collants troués comme du gruyère, et les cheveux sales comme une fosse septique. Néanmoins, ses yeux bleus et brillants compensaient un peu la tristesse qui l’entourait. Elle devait avoir dans les seize ans, et se faisait appeler Bruna.
1946	Normal	— Et maintenant, qu’est-ce qu’on fait de ces zombies ? demanda-t-elle.
1947	Normal	Entre-temps, Marc Ferguson avait déjà libéré Maarten, qui répondit à la question de Bruna :
1948	Normal	— Nous ne pouvons rien faire d’autre que les laisser partir. Je crois que tu le comprends.
1949	Normal	— Oui, même si je m’étais déjà attachée à eux. L’un d’eux était un ami à moi au lycée. Cela me fait de la peine de le laisser seul.
1950	Normal	— Il ne sera pas seul, dit le troisième des compagnons, un garçon d’environ dix-huit ans, maigre et le visage émacié par le manque de nourriture. Ils retrouveront tous les autres chupacabras.
1951	Normal	— Nil, ce n’est pas la peine de les appeler ainsi non plus, protesta Bruna.
1952	Normal	— Mais c’est ce qu’ils sont, des chupacabras, des chupacabras… répéta Nil à plusieurs reprises, comme si cette insistance faisait office de rappel vital.
1953	Normal	— Allons, Nil, ça suffit, dit le membre qui restait, une jeune fille d’environ quinze ans qui, à son maintien, paraissait assez sensée. De tous les quatre, c’était elle la mieux préparée, vu les circonstances, avec un équipement qui semblait tiré d’une boutique de vêtements militaires.
1954	Normal	— Nora, ne va pas te mettre à commander toi aussi maintenant. Que veux-tu, remplacer Leo ? demanda Nil.
1955	Normal	— En aucune façon ! Moi aussi, j’en avais assez, de cet énergumène. Bien au contraire, ce que je veux, c’est éviter la discorde entre nous, car notre ennemi est au-dehors, pas au-dedans. Et je me rends compte à présent que nous sommes bien mal élevés, car nous ne nous sommes même pas présentés à nos hôtes.
1956	Normal	Tout le monde fut assez impressionné par la manière dont Nora s’exprimait, tandis que celle-ci poursuivait :
1957	Normal	— Mesdames et messieurs, comme vous l’aurez deviné, nous sommes Melchior, Bruna, Nil et celle qui vous parle, Nora. Vous êtes très probablement en train de vous demander quelle est notre origine, et quelles sont nos intentions. La vérité, c’est que nous ne pouvons pas vous donner de détails sur notre histoire personnelle, car nous avons fait tout notre possible pour l’effacer de notre mémoire. Si nous devons commencer à créer un monde nouveau, le mieux sera de partir de zéro, ne trouvez-vous pas ?
1958	Normal	— Oui, je suppose que oui. L’idée pourrait être très belle. Mais la croyez-vous réalisable ? demanda Johnny.
1959	Normal	— Nous ne le saurons qu’en nous y mettant, répondit Nora.
1960	Normal	— Seulement, le défi est colossal. Nous ne disposons même pas d’un vaccin qui nous immunise contre le virus zombie, ajouta Marc Ferguson.
1961	Normal	— Eh bien, ne vous souciez pas de le trouver. Il vaut mieux concentrer les efforts sur le fait de rester en vie. Du reste, mère nature s’en chargera.
1962	Normal	— Mère nature ? Qui est-ce, celle-là ? demanda Miqui.
1963	Normal	— Je suppose que tu fais référence à l’équilibre écologique naturel, répondit Élia.
1964	Normal	— Exactement. Il existe un équilibre naturel que l’irruption de ce nouveau virus a interrompu. Mais ce n’est pas définitif. Tôt ou tard, l’équilibre se rétablira. C’est une loi fondamentale de la nature. Quand cela arrivera, les conditions seront réunies pour qu’une certaine normalité revienne, même si nous ne pouvons pas savoir de quel type elle sera.
1965	Normal	— Et comment sais-tu tout cela, Nora ? Tu ne sembles pas avoir l’âge ni la maturité qu’il faudrait.
1966	Normal	— Eh bien, je crois que ce n’est pas une question d’âge, mais de curiosité. Et moi, j’en ai toujours eu énormément.
